"","week","indexP"
"1","2011-12-26",0.935207586094274
"2","2012-01-02",0.802089186570372
"3","2012-01-09",0.855673033472906
"4","2012-01-16",0.774743299568213
"5","2012-01-23",0.735757706927162
"6","2012-01-30",0.846284757110916
"7","2012-02-06",0.986065134738912
"8","2012-02-13",0.769117587247337
"9","2012-02-20",0.765876934824901
"10","2012-02-27",0.907151604124499
"11","2012-03-05",0.763855965832938
"12","2012-03-12",0.794952142938178
"13","2012-03-19",0.884267818926338
"14","2012-03-26",1.14805176584771
"15","2012-04-02",1.2578499072295
"16","2012-04-09",1.17267348106609
"17","2012-04-16",0.905804582691174
"18","2012-04-23",1.58346799005318
"19","2012-04-30",1.39971199132815
"20","2012-05-07",1.39203415341744
"21","2012-05-14",1.29897989039087
"22","2012-05-21",1.26524952600798
"23","2012-05-28",1.25074029354205
"24","2012-06-04",1.08606462136273
"25","2012-06-11",1.28649682650351
"26","2012-06-18",1.32804276050104
"27","2012-06-25",1.16225352159527
"28","2012-07-02",1.41922997636167
"29","2012-07-09",1.24888722405179
"30","2012-07-16",1.54976876488054
"31","2012-07-23",1.38819003297603
"32","2012-07-30",1.53116280466292
"33","2012-08-06",1.54115046227873
"34","2012-08-13",1.43076912124324
"35","2012-08-20",1.50839133183558
"36","2012-08-27",1.28118069631057
"37","2012-09-03",1.49624090948067
"38","2012-09-10",1.42486397263361
"39","2012-09-17",1.30498105078179
"40","2012-09-24",1.43329732571452
"41","2012-10-01",1.51652516602389
"42","2012-10-08",1.50065726331196
"43","2012-10-15",1.60695689617251
"44","2012-10-22",1.44579966931826
"45","2012-10-29",1.43102937308889
"46","2012-11-05",1.3903080032979
"47","2012-11-12",1.4118593363539
"48","2012-11-19",1.23756218578934
"49","2012-11-26",1.29442189142773
"50","2012-12-03",1.16039016385658
"51","2012-12-10",0.989630268930553
"52","2012-12-17",0.878041408281781
"53","2012-12-24",0.976393924490101
"54","2012-12-31",1.00347856452456
"55","2013-01-07",0.867505328950425
"56","2013-01-14",0.808510423846416
"57","2013-01-21",0.958764580424097
"58","2013-01-28",0.930388168378309
"59","2013-02-04",0.792901545113707
"60","2013-02-11",0.776562536438955
"61","2013-02-18",0.783814137617902
"62","2013-02-25",0.878378522364444
"63","2013-03-04",0.652438102809079
"64","2013-03-11",0.720463938765881
"65","2013-03-18",1.15125763268294
"66","2013-03-25",1.08643525358692
"67","2013-04-01",1.20306565819624
"68","2013-04-08",1.13150456760562
"69","2013-04-15",1.13140661093646
"70","2013-04-22",0.92170451179167
"71","2013-04-29",1.40640097046488
"72","2013-05-06",1.41436468405347
"73","2013-05-13",1.48523196079508
"74","2013-05-20",1.52747838431112
"75","2013-05-27",1.61959724321106
"76","2013-06-03",1.46699977146814
"77","2013-06-10",1.61044777116419
"78","2013-06-17",1.25912134493956
"79","2013-06-24",1.55399749703704
"80","2013-07-01",1.47883801508451
"81","2013-07-08",1.41235668431871
"82","2013-07-15",1.4540774572557
"83","2013-07-22",1.33924220961345
"84","2013-07-29",1.23923497821647
"85","2013-08-05",1.49167154336228
"86","2013-08-12",1.57029821051457
"87","2013-08-19",1.57415940727115
"88","2013-08-26",1.44548005613521
"89","2013-09-02",1.62949362246448
"90","2013-09-09",1.4162451616054
"91","2013-09-16",1.59706680738564
"92","2013-09-23",1.47557148939632
"93","2013-09-30",1.48526657614402
"94","2013-10-07",1.4386192332171
"95","2013-10-14",1.47598832347188
"96","2013-10-21",1.35924550795254
"97","2013-10-28",1.54213217655854
"98","2013-11-04",1.45200839199592
"99","2013-11-11",1.22462542289108
"100","2013-11-18",1.04680005032721
"101","2013-11-25",0.948994624120331
"102","2013-12-02",0.984268645186192
"103","2013-12-09",1.14961316985633
"104","2013-12-16",1.19539206102593
"105","2013-12-23",1.00261077415853
"106","2013-12-30",1.06690468393163
"107","2014-01-06",1.10835530834394
"108","2014-01-13",0.776707199132315
"109","2014-01-20",0.891302913138028
"110","2014-01-27",1.04394088461454
"111","2014-02-03",1.06974399742013
"112","2014-02-10",0.968326675009381
"113","2014-02-17",0.96627757388443
"114","2014-02-24",0.861358131208397
"115","2014-03-03",0.731362801759482
"116","2014-03-10",0.8871781198362
"117","2014-03-17",0.861438870133992
"118","2014-03-24",0.962017511278773
"119","2014-03-31",0.975763029685101
"120","2014-04-07",0.972005387612408
"121","2014-04-14",0.998434387849736
"122","2014-04-21",1.40385735000625
"123","2014-04-28",1.08004009589207
"124","2014-05-05",1.16445525614794
"125","2014-05-12",1.25954432642885
"126","2014-05-19",1.29927505425657
"127","2014-05-26",1.20594549316102
"128","2014-06-02",1.23237566282279
"129","2014-06-09",1.3060635250187
"130","2014-06-16",1.30720208477448
"131","2014-06-23",1.30262731945878
"132","2014-06-30",1.29792427427851
"133","2014-07-07",1.41007711326143
"134","2014-07-14",1.28322777368891
"135","2014-07-21",1.25599122830501
"136","2014-07-28",1.24085683848355
"137","2014-08-04",1.33605977927609
"138","2014-08-11",1.32912503209645
"139","2014-08-18",1.46940522209005
"140","2014-08-25",1.51772880627202
"141","2014-09-01",1.55749555281712
"142","2014-09-08",1.34492459556819
"143","2014-09-15",1.31640943973644
"144","2014-09-22",1.55836591456158
"145","2014-09-29",1.17871335580209
"146","2014-10-06",1.20173382171746
"147","2014-10-13",1.41659296311179
"148","2014-10-20",1.36746926939
"149","2014-10-27",1.53438187345741
"150","2014-11-03",1.21801273898043
"151","2014-11-10",1.39092056078554
"152","2014-11-17",1.30823536181336
"153","2014-11-24",1.18002569878098
"154","2014-12-01",1.05423493880216
"155","2014-12-08",0.932021884790763
